"gene_id","gene_name","samples_detected","total_counts","is_deprecated_probe","is_universe"
"ENSG00000253686","LINC01484",0,0,FALSE,FALSE
"ENSG00000287003","AC008674.1",0,0,FALSE,FALSE
"ENSG00000254211","LINC01485",0,0,FALSE,FALSE
"ENSG00000113742","CPEB4",22,199075,FALSE,TRUE
"ENSG00000185056","C5orf47",22,4074,FALSE,TRUE
"ENSG00000170091","NSG2",22,62796,FALSE,TRUE
"ENSG00000253244","AC113423.1",0,0,FALSE,FALSE
"ENSG00000253447","AC113423.2",0,0,FALSE,FALSE
"ENSG00000254011","AC011333.1",0,0,FALSE,FALSE
"ENSG00000249722","AC025752.1",0,0,FALSE,FALSE
"ENSG00000249306","LINC01411",0,0,FALSE,FALSE
"ENSG00000250256","AC108112.1",0,0,FALSE,FALSE
"ENSG00000120149","MSX2",22,30538,FALSE,TRUE
"ENSG00000251670","AC113346.2",0,0,FALSE,FALSE
"ENSG00000251144","AC113346.1",0,0,FALSE,FALSE
"ENSG00000204754","LINC01951",0,0,FALSE,FALSE
"ENSG00000249403","AC008413.2",0,0,FALSE,FALSE
"ENSG00000184845","DRD1",22,7026,FALSE,TRUE
"ENSG00000286350","AC091393.2",0,0,FALSE,FALSE
"ENSG00000164466","SFXN1",22,257977,FALSE,TRUE
"ENSG00000113749","HRH2",22,24806,FALSE,TRUE
"ENSG00000145920","CPLX2",22,100210,FALSE,TRUE
"ENSG00000250820","AC138965.2",0,0,FALSE,FALSE
"ENSG00000051596","THOC3",22,65372,FALSE,TRUE
"ENSG00000250801","AC138965.1",0,0,FALSE,FALSE
"ENSG00000250992","AC139491.3",0,0,FALSE,FALSE
"ENSG00000248469","AC139491.1",0,0,FALSE,FALSE
"ENSG00000182230","FAM153B",22,43668,FALSE,TRUE
"ENSG00000251458","AC139491.4",0,0,FALSE,FALSE
"ENSG00000287579","AC139491.8",0,0,FALSE,FALSE
"ENSG00000283235","AC139493.2",0,0,FALSE,FALSE
"ENSG00000170085","SIMC1",22,86425,FALSE,TRUE
"ENSG00000122203","KIAA1191",22,279436,FALSE,TRUE
"ENSG00000250909","AC138956.1",0,0,FALSE,FALSE
"ENSG00000251414","AC138956.2",0,0,FALSE,FALSE
"ENSG00000175414","ARL10",22,125038,FALSE,TRUE
"ENSG00000048162","NOP16",22,317233,FALSE,TRUE
"ENSG00000146066","HIGD2A",22,843545,FALSE,TRUE
"ENSG00000175416","CLTB",22,1353252,FALSE,TRUE
"ENSG00000113194","FAF2",22,258910,FALSE,TRUE
"ENSG00000146083","RNF44",22,348476,FALSE,TRUE
"ENSG00000074276","CDHR2",22,2735,FALSE,TRUE
"ENSG00000169258","GPRIN1",22,22302,FALSE,TRUE
"ENSG00000074317","SNCB",22,84443,FALSE,TRUE
"ENSG00000175766","EIF4E1B",22,5817,FALSE,TRUE
"ENSG00000048140","TSPAN17",22,76910,FALSE,TRUE
"ENSG00000248484","AC113391.1",0,0,FALSE,FALSE
"ENSG00000251446","AC113391.2",0,0,FALSE,FALSE
"ENSG00000248859","LINC01574",0,0,FALSE,FALSE
"ENSG00000113763","UNC5A",22,23939,FALSE,TRUE
"ENSG00000160883","HK3",22,48814,FALSE,TRUE
"ENSG00000087206","UIMC1",22,105217,FALSE,TRUE
"ENSG00000113761","ZNF346",22,138369,FALSE,TRUE
"ENSG00000251666","ZNF346-IT1",0,0,FALSE,FALSE
"ENSG00000160867","FGFR4",22,7520,FALSE,TRUE
"ENSG00000165671","NSD1",22,254827,FALSE,TRUE
"ENSG00000286634","AC146507.3",0,0,FALSE,FALSE
"ENSG00000169228","RAB24",22,114167,FALSE,TRUE
"ENSG00000213347","MXD3",22,38651,FALSE,TRUE
"ENSG00000169230","PRELID1",22,231749,FALSE,TRUE
